analysis_set,station_id,balanced_per_condition,metric,metric_label,effect_scale,ce_value,comparison_value,effect
unrestricted,ST10,257,verification_successful,Completed-successful verification call,risk_difference,0.4046692607003891,0.49416342412451364,-0.08949416342412453
unrestricted,ST10,257,audit_signal,Audit-stage prompt signal,risk_difference,0.15953307392996108,0.027237354085603113,0.13229571984435795
unrestricted,ST10,257,remediation_signal,Remediation-stage prompt signal,risk_difference,0.24124513618677043,0.11284046692607004,0.12840466926070038
unrestricted,ST10,257,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.05058365758754864,0.05058365758754864,0.0
unrestricted,ST10,257,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.38910505836575876,0.058365758754863814,0.33073929961089493
unrestricted,ST10,257,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.4046692607003891,0.038910505836575876,0.36575875486381326
unrestricted,ST10,257,duration_min,Median observed trajectory minutes,median_ratio,6.0136666666666665,3.9646166666666667,1.5168343303471963
unrestricted,ST10,257,completed_substantive_actions,Median completed substantive actions,median_ratio,5.0,4.0,1.25
unrestricted,ST10,257,min_per_action,Median minutes per completed substantive action,median_ratio,1.5189333333333332,1.0159055555555556,1.4951521084090273
unrestricted,ST11,6,verification_successful,Completed-successful verification call,risk_difference,0.16666666666666666,0.16666666666666666,0.0
unrestricted,ST11,6,audit_signal,Audit-stage prompt signal,risk_difference,0.5,0.0,0.5
unrestricted,ST11,6,remediation_signal,Remediation-stage prompt signal,risk_difference,0.16666666666666666,0.0,0.16666666666666666
unrestricted,ST11,6,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.16666666666666666,0.0,0.16666666666666666
unrestricted,ST11,6,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.3333333333333333,0.0,0.3333333333333333
unrestricted,ST11,6,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.3333333333333333,0.0,0.3333333333333333
